,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,ARIZONA,AZ,181,95.02,10,5.25,112,58.8,303,159.07,1465656
1,2002,ARIZONA,AZ,369,193.72,0,0.0,0,0.0,369,193.72,1194400
2,2004,ARIZONA,AZ,193,101.32,14,7.35,67,35.17,274,143.84,1871445
3,2006,ARIZONA,AZ,446,234.15,105,55.12,0,0.0,551,289.27,1493150
4,2008,ARIZONA,AZ,328,172.2,0,0.0,83,43.58,411,215.78,2155694
5,2010,ARIZONA,AZ,903,474.07,36,18.9,0,0.0,939,492.97,1698145
6,2012,ARIZONA,AZ,1351,709.27,460,241.5,78,40.95,1889,991.72,2173317
7,2014,ARIZONA,AZ,9088,4771.2,0,0.0,0,0.0,9088,4771.20,1467603
8,2016,ARIZONA,AZ,292,153.3,55,28.87,198,103.95,545,286.12,2412064
9,2018,ARIZONA,AZ,425,223.12,299,156.98,0,0.0,724,380.10,2341270
10,2020,ARIZONA,AZ,612,321.3,299,156.98,2268,1190.7,3179,1668.98,3268249
11,2022,ARIZONA,AZ,1612,846.3,144,75.6,0,0.0,1756,921.90,2360078
12,2024,ARIZONA,AZ,795,417.37,292,153.3,128,67.2,1215,637.87,3353102
