,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,ILLINOIS,IL,871,457.27,0,0.0,59,30.98,930,488.25
1,2002,ILLINOIS,IL,388,203.7,30,15.75,0,0.0,418,219.45
2,2004,ILLINOIS,IL,599,314.47,16,8.4,68,35.7,683,358.57
3,2006,ILLINOIS,IL,835,438.37,0,0.0,0,0.0,835,438.37
4,2008,ILLINOIS,IL,579,303.97,18,9.45,28,14.7,625,328.12
5,2010,ILLINOIS,IL,4312,2263.8,926,486.15,0,0.0,5238,2749.95
6,2012,ILLINOIS,IL,3016,1583.4,0,0.0,42,22.05,3058,1605.45
7,2014,ILLINOIS,IL,814,427.35,48,25.2,0,0.0,862,452.55
8,2016,ILLINOIS,IL,531,278.77,39,20.47,42,22.05,612,321.29
9,2018,ILLINOIS,IL,1493,783.82,0,0.0,0,0.0,1493,783.82
10,2020,ILLINOIS,IL,1146,601.65,41,21.52,42,22.05,1229,645.22
11,2022,ILLINOIS,IL,699,366.97,46,24.15,0,0.0,745,391.12
12,2024,ILLINOIS,IL,0,0.0,0,0.0,64,33.6,64,33.60
