,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,KENTUCKY,KY,267,140.17,0,0.0,47,24.67,314,164.84
1,2002,KENTUCKY,KY,487,255.67,24,12.6,0,0.0,511,268.27
2,2004,KENTUCKY,KY,178,93.45,533,279.82,36,18.9,747,392.17
3,2006,KENTUCKY,KY,503,264.07,0,0.0,0,0.0,503,264.07
4,2008,KENTUCKY,KY,247,129.67,119,62.47,44,23.1,410,215.24
5,2010,KENTUCKY,KY,2468,1295.7,61,32.02,0,0.0,2529,1327.72
6,2012,KENTUCKY,KY,283,148.57,0,0.0,31,16.27,314,164.84
7,2014,KENTUCKY,KY,130,68.25,57,29.92,0,0.0,187,98.17
8,2016,KENTUCKY,KY,91,47.77,49,25.72,24,12.6,164,86.09
9,2018,KENTUCKY,KY,325,170.62,0,0.0,0,0.0,325,170.62
10,2020,KENTUCKY,KY,133,69.82,46,24.15,27,14.18,206,108.15
11,2022,KENTUCKY,KY,117,61.42,30,15.75,0,0.0,147,77.17
12,2024,KENTUCKY,KY,0,0.0,0,0.0,23,12.08,23,12.08
