,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,MICHIGAN,MI,339,177.97,301,158.02,137,71.92,777,407.91,4069660
1,2002,MICHIGAN,MI,313,164.32,31,16.27,0,0.0,344,180.59,3055897
2,2004,MICHIGAN,MI,342,179.55,0,0.0,205,107.62,547,287.17,4631329
3,2006,MICHIGAN,MI,627,329.17,43,22.58,0,0.0,670,351.75,3646426
4,2008,MICHIGAN,MI,766,402.15,24,12.6,43,22.58,833,437.33,4810690
5,2010,MICHIGAN,MI,826,433.65,0,0.0,0,0.0,826,433.65,3194901
6,2012,MICHIGAN,MI,1513,794.32,31,16.27,74,38.85,1618,849.44,4574632
7,2014,MICHIGAN,MI,524,275.1,46,24.15,0,0.0,570,299.25,3089477
8,2016,MICHIGAN,MI,434,227.85,0,0.0,3139,1647.98,3573,1875.83,4670905
9,2018,MICHIGAN,MI,874,458.85,108,56.7,0,0.0,982,515.55,4154703
10,2020,MICHIGAN,MI,934,490.35,416,218.4,252,132.3,1602,841.05,5423140
11,2022,MICHIGAN,MI,1901,998.02,0,0.0,0,0.0,1901,998.02,4375537
