,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,UTAH,UT,99,51.97,22,11.55,18,9.45,139,72.97
1,2002,UTAH,UT,995,522.37,0,0.0,0,0.0,995,522.37
2,2004,UTAH,UT,103,54.07,18,9.45,16,8.4,137,71.92
3,2006,UTAH,UT,84,44.1,23,12.08,0,0.0,107,56.18
4,2008,UTAH,UT,65,34.12,0,0.0,25,13.12,90,47.24
5,2010,UTAH,UT,191,100.27,25,13.12,0,0.0,216,113.39
6,2012,UTAH,UT,638,334.95,20,10.5,15,7.87,673,353.32
7,2014,UTAH,UT,199,104.47,0,0.0,0,0.0,199,104.47
8,2016,UTAH,UT,115,60.37,18,9.45,39,20.47,172,90.29
9,2018,UTAH,UT,3579,1878.97,25,13.12,0,0.0,3604,1892.09
10,2020,UTAH,UT,768,403.2,0,0.0,35,18.38,803,421.58
11,2022,UTAH,UT,95,49.87,68,35.7,0,0.0,163,85.57
12,2024,UTAH,UT,0,0.0,23,12.08,33,17.32,56,29.40
